Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Jakarta Raya,60.64%,"2,752,340","4,538,969"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Jambi,3.95%,"72,575","1,839,387"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Jawa Barat,4.36%,"1,188,364","27,254,788"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Jawa Tengah,4.32%,"833,932","19,295,707"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Jawa Timur,8.73%,"1,889,975","21,643,835"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kalimantan Barat,4.19%,"110,553","2,635,412"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kalimantan Selatan,4.12%,"88,833","2,154,110"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kalimantan Tengah,7.15%,"99,576","1,392,610"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kalimantan Timur,4.85%,"95,856","1,974,995"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kalimantan Utara,3.02%,"11,088","367,207"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Kepulauan Riau,33.98%,"388,479","1,143,230"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Lampung,3.04%,"140,515","4,615,322"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Maluku,2.87%,"25,392","885,532"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Maluku Utara,1.96%,"11,932","609,731"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Nusa Tenggara Barat,3.66%,"97,068","2,655,109"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Nusa Tenggara Timur,4.20%,"101,176","2,408,586"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Papua,3.24%,"54,792","1,689,112"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Papua Barat,4.19%,"20,697","493,762"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Riau,7.56%,"261,019","3,451,350"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Barat,5.28%,"37,734","715,281"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Selatan,5.58%,"255,109","4,571,997"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Tengah,3.44%,"47,231","1,374,811"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Tenggara,6.48%,"83,057","1,281,431"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Utara,14.56%,"197,883","1,359,120"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Barat,3.43%,"99,356","2,896,546"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Selatan,3.89%,"170,224","4,370,858"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Utara,4.42%,"343,860","7,788,393"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Yogyakarta,9.13%,"157,579","1,726,698"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Aceh,75.14%,"359,550","478,489"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bali,461.49%,"1,561,616","338,389"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bangka Belitung,120.81%,"108,216","89,573"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Banten,166.93%,"761,456","456,149"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bengkulu,75.55%,"124,046","164,190"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Gorontalo,119.28%,"125,362","105,095"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jakarta Raya,128.67%,"2,551,221","1,982,757"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jambi,164.56%,"389,354","236,609"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Barat,131.27%,"2,881,720","2,195,338"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Tengah,99.79%,"2,209,941","2,214,636"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Timur,182.37%,"3,776,374","2,070,774"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Barat,111.61%,"325,520","291,654"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Selatan,89.48%,"286,150","319,779"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Tengah,119.07%,"236,914","198,975"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Timur,105.80%,"300,671","284,193"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Utara,96.40%,"58,062","60,229"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kepulauan Riau,398.07%,"513,085","128,893"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Lampung,84.93%,"348,079","409,854"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Maluku,77.20%,"134,873","174,705"
