Provinsi,Tanggal,Running Sum of divaksin2 (ribu)
Jakarta Raya,1/14/2021,0
Jakarta Raya,1/15/2021,0.002
Jakarta Raya,1/16/2021,0.002
Jakarta Raya,1/17/2021,0.002
Jakarta Raya,1/18/2021,0.005
Jakarta Raya,1/19/2021,0.055
Jakarta Raya,1/20/2021,0.056
Jakarta Raya,1/21/2021,0.058
Jakarta Raya,1/22/2021,0.058
Jakarta Raya,1/23/2021,0.058
Jakarta Raya,1/24/2021,0.058
Jakarta Raya,1/25/2021,0.059
Jakarta Raya,1/26/2021,0.059
Jakarta Raya,1/27/2021,0.117
Jakarta Raya,1/28/2021,2.53
Jakarta Raya,1/29/2021,6.462
Jakarta Raya,1/30/2021,7.143
Jakarta Raya,1/31/2021,7.2
Jakarta Raya,2/1/2021,11.2
Jakarta Raya,2/2/2021,14.642
Jakarta Raya,2/3/2021,18.377
Jakarta Raya,2/4/2021,24.088
Jakarta Raya,2/5/2021,30.44
Jakarta Raya,2/6/2021,32
Jakarta Raya,2/7/2021,32.057
Jakarta Raya,2/8/2021,36.54
Jakarta Raya,2/9/2021,40.675
Jakarta Raya,2/10/2021,44.942
Jakarta Raya,2/11/2021,49.822
Jakarta Raya,2/12/2021,50.03
Jakarta Raya,2/13/2021,51.394
Jakarta Raya,2/14/2021,51.803
Jakarta Raya,2/15/2021,57.507
Jakarta Raya,2/16/2021,61.67
Jakarta Raya,2/17/2021,65.058
Jakarta Raya,2/18/2021,70.38
Jakarta Raya,2/19/2021,74.338
Jakarta Raya,2/20/2021,74.947
Jakarta Raya,2/21/2021,76.164
Jakarta Raya,2/22/2021,80.763
Jakarta Raya,2/23/2021,83.792
Jakarta Raya,2/24/2021,86.472
Jakarta Raya,2/25/2021,89.085
Jakarta Raya,2/26/2021,89.843
Jakarta Raya,2/27/2021,89.989
Jakarta Raya,2/28/2021,90.018
Jakarta Raya,3/1/2021,90.983
Jakarta Raya,3/2/2021,91.796
Jakarta Raya,3/3/2021,93.305
Jakarta Raya,3/4/2021,94.78
Jakarta Raya,3/5/2021,96.713
Jakarta Raya,3/6/2021,97.702
Jakarta Raya,3/7/2021,97.725
Jakarta Raya,3/8/2021,101.815
Jakarta Raya,3/9/2021,107.114
Jakarta Raya,3/10/2021,113.442
Jakarta Raya,3/11/2021,113.598
Jakarta Raya,3/12/2021,117.995
Jakarta Raya,3/13/2021,118.278
Jakarta Raya,3/14/2021,118.316
Jakarta Raya,3/15/2021,127.927
Jakarta Raya,3/16/2021,143.167
Jakarta Raya,3/17/2021,163.889
