Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Luwu Timur,Sulawesi Selatan,15.376989912,MultiPolygon,Divaksin 1,-2.646000737,121.096288864,"34,281","222,937","7,058,141"
Luwu Utara,Sulawesi Selatan,16.345228733,Polygon,Divaksin 1,-2.484180930,120.179763546,"40,943","250,489","7,058,141"
Madiun,Jawa Timur,26.828297719,MultiPolygon,Divaksin 1,-7.623349732,111.617920664,"200,908","748,866","31,826,206"
Magelang,Jawa Tengah,14.682888147,MultiPolygon,Divaksin 1,-7.503045757,110.254467827,"165,534","1,127,394","28,727,805"
Magetan,Jawa Timur,15.604698755,Polygon,Divaksin 1,-7.649297660,111.326770738,"83,039","532,141","31,826,206"
Majalengka,Jawa Barat,8.809063947,Polygon,Divaksin 1,-6.752355508,108.193914582,"92,313","1,047,932","37,907,814"
Majene,Sulawesi Barat,17.011231297,MultiPolygon,Divaksin 1,-3.233888178,118.924959099,"22,159","130,261","1,089,240"
Makassar,Sulawesi Selatan,36.754510900,MultiPolygon,Divaksin 1,-5.112780510,119.405838740,"405,156","1,102,330","7,058,141"
Malang,Jawa Timur,18.747479966,MultiPolygon,Divaksin 1,-8.139581943,112.623824550,"512,387","2,733,098","31,826,206"
Malinau,Kalimantan Timur,,Polygon,Divaksin 1,2.497825374,115.421631074,,,
Maluku Barat Daya,Maluku,8.134357892,MultiPolygon,Divaksin 1,-7.803556806,127.677193065,"4,933","60,644","1,417,690"
Maluku Tengah,Maluku,5.366620857,MultiPolygon,Divaksin 1,-3.266461307,129.030180120,"17,846","332,537","1,417,690"
Maluku Tenggara,Maluku,12.984001111,MultiPolygon,Divaksin 1,-5.717350995,132.775813736,"12,149","93,569","1,417,690"
Maluku Tenggara Barat,Maluku,,MultiPolygon,Divaksin 1,-7.534945267,131.288534016,,,
Mamasa,Sulawesi Barat,18.435316651,Polygon,Divaksin 1,-2.997111969,119.396707520,"23,774","128,959","1,089,240"
Mamberamo Raya,Papua,8.006672227,MultiPolygon,Divaksin 1,-2.263911681,137.650486401,"1,632","20,383","2,175,921"
Mamberamo Tengah,Papua,2.368608316,Polygon,Divaksin 1,-3.622003236,139.045637491,699,"29,511","2,175,921"
Mamuju,Sulawesi Barat,15.686163192,MultiPolygon,Divaksin 1,-2.265201992,119.439581012,"33,156","211,371","1,089,240"
Mamuju Utara,Sulawesi Barat,,Polygon,Divaksin 1,-1.430417843,119.556407852,,,
Manado,Sulawesi Utara,79.619263412,MultiPolygon,Divaksin 1,1.530255853,124.826462946,"286,033","359,251","2,080,685"
Mandailing Natal,Sumatera Utara,7.074023537,MultiPolygon,Divaksin 1,0.864736247,99.317492421,"24,885","351,780","11,419,559"
Manggarai,Nusa Tenggara Timur,12.602447437,MultiPolygon,Divaksin 1,-8.543776702,120.412721787,"27,878","221,211","3,831,439"
Manggarai Barat,Nusa Tenggara Timur,22.604277110,MultiPolygon,Divaksin 1,-8.599134152,119.773631614,"40,081","177,316","3,831,439"
