Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Gorontalo Utara,Gorontalo,21.539816631,MultiPolygon,Divaksin 1,0.905507087,122.784669676,"21,520","99,908","938,409"
Gowa,Sulawesi Selatan,10.399290031,MultiPolygon,Divaksin 1,-5.314348235,119.655570780,"61,754","593,829","7,058,141"
Gresik,Jawa Timur,24.492950883,MultiPolygon,Divaksin 1,-6.986726935,112.514674420,"247,792","1,011,687","31,826,206"
Grobogan,Jawa Tengah,13.131340592,MultiPolygon,Divaksin 1,-7.130345434,110.856784382,"149,733","1,140,272","28,727,805"
Gunung Kidul,Yogyakarta,29.636475145,MultiPolygon,Divaksin 1,-8.019730278,110.597360259,"176,380","595,145","2,879,699"
Gunung Mas,Kalimantan Tengah,18.708310754,Polygon,Divaksin 1,-1.118207202,113.637443484,"18,988","101,495","2,036,104"
Gunungsitoli,Sumatera Utara,16.330495744,MultiPolygon,Divaksin 1,1.286624479,97.596423772,"16,306","99,850","11,419,559"
Halmahera Barat,Maluku Utara,7.971135274,MultiPolygon,Divaksin 1,1.338280131,127.540824809,"8,130","101,993","954,092"
Halmahera Selatan,Maluku Utara,12.150718605,MultiPolygon,Divaksin 1,-0.575582006,127.577366026,"22,886","188,351","954,092"
Halmahera Tengah,Maluku Utara,27.762313930,MultiPolygon,Divaksin 1,0.344033659,128.394713484,"11,470","41,315","954,092"
Halmahera Timur,Maluku Utara,10.353769762,MultiPolygon,Divaksin 1,0.874997297,128.280707591,"7,027","67,869","808,250"
Halmahera Utara,Maluku Utara,6.837606838,MultiPolygon,Divaksin 1,1.646501901,127.872916052,"9,888","144,612","954,092"
Hulu Sungai Selatan,Kalimantan Selatan,16.487213622,Polygon,Divaksin 1,-2.737295572,115.229990333,"29,599","179,527","3,161,137"
Hulu Sungai Tengah,Kalimantan Selatan,10.358019980,Polygon,Divaksin 1,-2.633717123,115.498713349,"21,172","204,402","3,161,137"
Hulu Sungai Utara,Kalimantan Selatan,12.787048964,Polygon,Divaksin 1,-2.448878095,115.133004477,"22,535","176,233","3,161,137"
Humbang Hasundutan,Sumatera Utara,32.387392002,MultiPolygon,Divaksin 1,2.279375482,98.627862467,"47,420","146,415","11,419,559"
Indragiri Hilir,Riau,10.738907897,MultiPolygon,Divaksin 1,-0.325195911,103.339750608,"54,425","506,802","4,840,347"
Indragiri Hulu,Riau,14.058517172,Polygon,Divaksin 1,-0.658966021,102.025700104,"47,266","336,209","4,840,347"
Indramayu,Jawa Barat,11.357335229,MultiPolygon,Divaksin 1,-6.478032956,108.124041896,"166,151","1,462,940","37,907,814"
Intan Jaya,Papua,1.856003569,Polygon,Divaksin 1,-3.137694184,136.485984402,"1,664","89,655","2,175,921"
Jakarta Barat,Jakarta Raya,63.975111897,Polygon,Divaksin 1,-6.163617328,106.752012057,"1,236,518","1,932,811","8,395,427"
Jakarta Pusat,Jakarta Raya,193.965949655,Polygon,Divaksin 1,-6.183508047,106.829363610,"1,658,919","855,263","8,395,427"
Jakarta Selatan,Jakarta Raya,99.181083643,Polygon,Divaksin 1,-6.279468420,106.812113730,"1,770,545","1,785,164","8,395,427"
Jakarta Timur,Jakarta Raya,59.422943688,Polygon,Divaksin 1,-6.273756310,106.893371933,"1,427,206","2,401,776","8,395,427"
Jakarta Utara,Jakarta Raya,84.579456617,Polygon,Divaksin 1,-6.122092841,106.847492509,"1,183,588","1,399,380","8,395,427"
Jambi,Jambi,42.580176860,Polygon,Divaksin 1,-1.613489749,103.597112184,"195,928","460,139","2,686,193"
Jayapura,Papua,39.488669305,MultiPolygon,Divaksin 1,-2.829318576,140.400718971,"126,004","319,089","2,583,771"
Jayawijaya,Papua,8.443500917,Polygon,Divaksin 1,-3.999108961,138.848442501,"14,000","165,808","2,583,771"
Jember,Jawa Timur,10.335070931,MultiPolygon,Divaksin 1,-8.311764100,113.623331370,"206,670","1,999,696","31,826,206"
Jembrana,Bali,80.960547501,Polygon,Divaksin 1,-8.313025642,114.695824567,"200,634","247,817","3,405,130"
Jeneponto,Sulawesi Selatan,8.445763713,MultiPolygon,Divaksin 1,-5.555725252,119.721304171,"26,461","313,305","7,058,141"
Jepara,Jawa Tengah,16.617052415,MultiPolygon,Divaksin 1,-6.209705992,110.603592029,"153,284","922,450","28,727,805"
Jombang,Jawa Timur,54.323873318,Polygon,Divaksin 1,-7.531165942,112.261488954,"554,072","1,019,942","31,826,206"
Kaimana,Papua Barat,17.932260522,MultiPolygon,Divaksin 1,-3.720275990,133.927711098,"7,767","43,313","797,402"
Kampar,Riau,8.972291430,MultiPolygon,Divaksin 1,0.112766841,101.177052944,"56,971","634,966","4,840,347"
Kapuas,Kalimantan Tengah,11.640478863,Polygon,Divaksin 1,-2.216340408,114.309290916,"37,338","320,760","2,036,104"
Kapuas Hulu,Kalimantan Barat,12.735752272,Polygon,Divaksin 1,0.931845643,112.800444169,"22,966","180,327","3,872,477"
Karanganyar,Jawa Tengah,19.874031682,MultiPolygon,Divaksin 1,-7.607122898,110.979831716,"145,748","733,359","28,727,805"
Karangasem,Bali,82.967287506,Polygon,Divaksin 1,-8.384140733,115.504756966,"315,206","379,916","3,405,130"
Karawang,Jawa Barat,14.405216773,Polygon,Divaksin 1,-6.273806960,107.377395068,"276,199","1,917,354","37,907,814"
Karimun,Kepulauan Riau,61.660250585,MultiPolygon,Divaksin 1,0.848697078,103.575526933,"120,769","195,862","1,581,035"
Karo,Sumatera Utara,13.622573579,Polygon,Divaksin 1,3.118987417,98.294517605,"43,286","317,752","11,419,559"
Katingan,Kalimantan Tengah,16.940484085,MultiPolygon,Divaksin 1,-2.443184270,113.174825004,"20,437","120,640","2,036,104"
Kaur,Bengkulu,12.265158528,Polygon,Divaksin 1,-4.661185260,103.386482417,"12,058","98,311","1,553,792"
Kayong Utara,Kalimantan Barat,13.836811306,MultiPolygon,Divaksin 1,-1.325736078,109.344085291,"12,532","90,570","3,872,477"
Kebumen,Jawa Tengah,16.510177894,Polygon,Divaksin 1,-7.622329064,109.597840701,"175,242","1,061,418","28,727,805"
Kediri,Jawa Timur,34.303507821,MultiPolygon,Divaksin 1,-7.817023216,112.099956770,"514,354","1,499,421","31,826,206"
Keerom,Papua,25.187738520,Polygon,Divaksin 1,-3.317514165,140.461510537,"8,184","32,492","2,583,771"
Kendal,Jawa Tengah,14.064623094,MultiPolygon,Divaksin 1,-7.064112132,110.157293758,"112,825","802,190","28,727,805"
Kendari,Sulawesi Tenggara,33.083534794,MultiPolygon,Divaksin 1,-3.987602338,122.575994575,"87,720","265,147","2,002,579"
Kepahiang,Bengkulu,12.971242760,Polygon,Divaksin 1,-3.618210929,102.625395870,"15,318","118,092","1,553,792"
Kepulauan Anambas,Kepulauan Riau,59.315453244,MultiPolygon,Divaksin 1,3.104037912,106.152710393,"21,541","36,316","1,581,035"
Kepulauan Aru,Maluku,,MultiPolygon,Divaksin 1,-5.945866654,134.533761936,,,
Kepulauan Mentawai,Sumatera Barat,11.637547255,MultiPolygon,Divaksin 1,-2.264606937,99.721643600,"7,973","68,511","4,408,509"
Kepulauan Meranti,Riau,16.816300065,MultiPolygon,Divaksin 1,1.030143813,102.584324242,"26,972","160,392","4,840,347"
Kepulauan Sangihe,Sulawesi Utara,19.940861209,MultiPolygon,Divaksin 1,3.541881019,125.552434018,"22,659","113,631","2,080,685"
Kepulauan Selayar,Sulawesi Selatan,19.704333552,MultiPolygon,Divaksin 1,-6.710719422,120.772093081,"21,366","108,433","7,058,141"
Kepulauan Seribu,Jakarta Raya,102.610183997,MultiPolygon,Divaksin 1,-5.678116460,106.578009629,"21,582","21,033","8,395,427"
Kepulauan Sula,Maluku Utara,8.217438078,MultiPolygon,Divaksin 1,-1.862842559,125.114008595,"6,340","77,153","808,250"
Kepulauan Talaud,Sulawesi Utara,31.052219910,MultiPolygon,Divaksin 1,4.246412450,126.807348967,"23,423","75,431","2,080,685"
Kepulauan Yapen,Papua,11.983504488,MultiPolygon,Divaksin 1,-1.734079641,135.942078891,"7,410","61,835","2,583,771"
Kerinci,Jambi,17.471384134,Polygon,Divaksin 1,-2.138653265,101.641225466,"34,206","195,783","2,686,193"
Ketapang,Kalimantan Barat,8.704525716,MultiPolygon,Divaksin 1,-1.978023262,110.356585184,"36,082","414,520","3,872,477"
Klaten,Jawa Tengah,12.626732231,Polygon,Divaksin 1,-7.675367671,110.611234180,"127,107","1,006,650","28,727,805"
Klungkung,Bali,88.579478000,MultiPolygon,Divaksin 1,-8.632980770,115.459364533,"144,001","162,567","3,405,130"
Kolaka,Sulawesi Tenggara,19.907230590,MultiPolygon,Divaksin 1,-4.090605236,121.507207076,"35,965","180,663","1,706,169"
Kolaka Utara,Sulawesi Tenggara,15.687484803,MultiPolygon,Divaksin 1,-3.112620156,121.103491628,"16,774","106,926","2,002,579"
Konawe,Sulawesi Tenggara,13.813797225,MultiPolygon,Divaksin 1,-3.714066772,122.199199817,"27,507","199,127","1,706,169"
Konawe Selatan,Sulawesi Tenggara,15.271870209,MultiPolygon,Divaksin 1,-4.242487698,122.626507720,"36,156","236,749","2,002,579"
Konawe Utara,Sulawesi Tenggara,31.480565721,MultiPolygon,Divaksin 1,-3.454848051,122.269759775,"15,915","50,555","2,002,579"
Kota Baru,Kalimantan Selatan,8.257886210,MultiPolygon,Divaksin 1,-3.097712707,116.160042767,"20,796","251,832","3,161,137"
Kota Binjai,Sumatera Utara,17.405137302,MultiPolygon,Divaksin 1,3.585099367,98.480501761,"39,443","226,617","11,419,559"
Kota Medan,Sumatera Utara,32.882277800,Polygon,Divaksin 1,3.623026342,98.666106626,"638,902","1,942,998","11,419,559"
Kota Tanjungbalai,Sumatera Utara,17.561761143,Polygon,Divaksin 1,2.959007385,99.796455307,"23,338","132,891","11,419,559"
Kota Yogyakarta,Yogyakarta,104.920045881,Polygon,Divaksin 1,-7.807243914,110.375524413,"311,004","296,420","2,879,699"
Kotamobagu,Sulawesi Utara,24.364286963,Polygon,Divaksin 1,0.725986431,124.309520058,"23,695","97,253","2,080,685"
Kotawaringin Barat,Kalimantan Tengah,23.657802308,Polygon,Divaksin 1,-2.680125349,111.695200174,"48,093","203,286","2,036,104"
Kotawaringin Timur,Kalimantan Tengah,14.975952690,Polygon,Divaksin 1,-2.403637000,112.851123403,"49,230","328,727","2,036,104"
Kuantan Singingi,Riau,15.449323971,Polygon,Divaksin 1,-0.380283779,101.537106878,"39,890","258,199","4,840,347"
